SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (₹ Crores),52 WEEK HIGH,52 WEEK LOW,30 D %CHNG,365 D %CHNG
"NIFTY 500","23,248.05","23,260.40","23,124.10","23,254.15","23,156.20","-","-97.95","-0.42","2211977774","64,552.68","24,144.20","20,385.65","-2.34","1.43"
"IFCI","104.90","107.36","101.40","101.38","102.29","-","0.91","0.9","207830587","2,158.11","107.50","46.23","38.27","95.1"
"SYRMA","1,458.50","1,645.00","1,458.30","1,457.30","1,627.00","-","169.7","11.64","13079561","2,082.51","1,645.00","634.50","14.2","95.73"
"BSE","3,430.00","3,474.50","3,420.00","3,409.80","3,446.20","-","36.4","1.07","3952983","1,361.96","4,446.80","2,021.50","-0.32","48.57"
"RELIANCE","1,323.10","1,324.20","1,301.90","1,322.00","1,309.50","-","-12.5","-0.95","10210522","1,336.38","1,611.80","1,249.80","-1.9","-4.76"
"ICICIBANK","1,428.00","1,434.40","1,422.60","1,423.20","1,427.50","-","4.3","0.3","8035111","1,146.47","1,480.00","1,187.60","0.46","1.76"
"BHARTIARTL","1,845.00","1,855.50","1,830.40","1,840.00","1,854.00","-","14","0.76","5972458","1,100.17","2,174.50","1,740.50","-5.4","-2.18"
"IDEA","15.09","15.68","15.06","15.02","15.60","-","0.58","3.86","695355022","1,078.50","15.68","6.58","22.55","115.77"
"SBIN","1,020.80","1,021.70","1,000.60","1,016.10","1,005.90","-","-10.2","-1","10220001","1,028.31","1,234.70","803.65","-8.32","24.71"
"WOCKPHARMA","2,112.50","2,236.00","2,076.20","2,088.70","2,212.80","-","124.1","5.94","4319658","941.68","2,422.30","1,086.70","9.49","49.63"
"HDFCBANK","712.10","713.00","707.05","712.10","710.50","-","-1.6","-0.22","12180390","865.33","1,020.50","698.50","-2.8","-26.25"
"INFY","1,109.50","1,109.90","1,085.00","1,130.00","1,087.50","-","-42.5","-3.76","7668346","839.05","1,728.00","982.40","-7.45","-24.72"
"SWIGGY","277.70","280.50","274.65","276.10","276.45","-","0.35","0.13","23743792","659.41","474.00","235.75","-1.53","-37.03"
"MCX","3,276.90","3,374.40","3,276.90","3,275.40","3,330.20","-","54.8","1.67","1889368","630.76","3,480.00","1,496.00","26.24","118.93"
"SAIL","196.99","196.99","187.30","196.80","187.90","-","-8.9","-4.52","32633382","619.32","209.70","124.00","6.41","45.37"
"ATHERENERG","1,575.00","1,618.00","1,561.10","1,584.00","1,599.30","-","15.3","0.97","3789386","604.62","1,744.00","485.00","7.95","220.28"
"KEI","4,850.00","4,871.00","4,678.00","4,850.00","4,704.00","-","-146","-3.01","1220350","576.59","5,899.00","3,728.70","-16","16.5"
"COALINDIA","416.60","420.30","413.30","415.35","418.85","-","3.5","0.84","13592701","567.50","491.25","369.60","0.87","6.67"
"M&M","3,154.10","3,178.00","3,145.00","3,170.00","3,160.00","-","-10","-0.32","1715004","542.63","3,839.90","2,896.00","-9.77","-11.27"
"NIACL","233.90","242.60","224.31","229.91","229.22","-","-0.69","-0.3","23442397","539.85","242.60","116.97","29.42","17.68"
"DIXON","14,227.00","14,429.00","13,937.00","14,240.00","14,180.00","-","-60","-0.42","377556","534.51","18,471.00","9,600.00","-0.14","-20.58"
"MARUTI","12,691.00","12,833.00","12,618.00","12,694.00","12,760.00","-","66","0.52","413778","527.92","17,370.00","12,201.00","-9.1","-14.33"
"TCS","2,290.10","2,299.90","2,260.10","2,304.00","2,270.00","-","-34","-1.48","2297551","522.30","3,350.00","1,976.80","-7.45","-25.53"
"NETWEB","5,215.00","5,306.50","5,135.00","5,193.00","5,175.50","-","-17.5","-0.34","975374","507.97","5,813.00","2,513.60","4.78","68.07"
"LT","3,962.00","4,004.90","3,960.90","3,964.10","3,999.00","-","34.9","0.88","1256683","500.25","4,440.00","3,288.10","-1.41","12.53"
"SOLARINDS","21,450.00","22,200.00","21,450.00","21,445.00","21,950.00","-","505","2.35","227176","497.83","22,200.00","11,646.00","17.69","57.74"
"POLYCAB","8,310.00","8,361.50","8,175.00","8,300.00","8,261.00","-","-39","-0.47","568946","468.14","10,126.00","6,663.00","-10.38","14.29"
"DIVISLAB","9,119.50","9,315.00","9,119.50","9,100.00","9,315.00","-","215","2.36","502162","464.93","9,467.00","5,636.50","12.57","55.02"
"TATASTEEL","189.00","190.24","184.37","188.79","185.61","-","-3.18","-1.68","23695657","439.70","224.40","160.06","-1.03","10.69"
"ZYDUSWELL","537.30","581.00","536.65","531.70","551.50","-","19.8","3.72","7627303","431.26","611.85","367.55","3.31","13.62"
"KAYNES","3,588.80","3,734.80","3,571.10","3,598.00","3,604.00","-","6","0.17","1148533","420.02","7,705.00","2,995.00","-6.54","-47.32"
"GROWW","194.75","196.60","191.01","194.00","194.78","-","0.78","0.4","21419848","416.87","227.20","112.00","2.25","0"
"ETERNAL","325.75","325.75","319.70","322.75","320.80","-","-1.95","-0.6","12845170","413.77","368.45","212.60","1.84","-2.54"
"WELCORP","2,584.90","2,674.80","2,536.80","2,590.60","2,600.00","-","9.4","0.36","1503451","394.38","2,676.00","710.00","41.32","206.19"
"BALRAMCHIN","695.00","722.00","695.00","690.60","707.00","-","16.4","2.37","5509645","391.63","780.95","393.55","11.61","28.67"
"CARTRADE","3,004.00","3,250.00","3,004.00","3,000.20","3,176.80","-","176.6","5.89","1233314","390.92","3,290.50","1,600.00","13.74","21.7"
"GRASIM","3,322.00","3,327.70","3,293.00","3,322.00","3,302.40","-","-19.6","-0.59","1179298","389.71","3,411.10","2,502.50","-0.62","17.77"
"CDSL","1,392.10","1,438.00","1,383.80","1,394.60","1,414.90","-","20.3","1.46","2731594","388.31","1,673.70","1,116.30","6.54","-7.12"
"BAJFINANCE","1,064.00","1,070.00","1,054.30","1,060.50","1,060.00","-","-0.5","-0.05","3586860","379.90","1,176.40","787.90","-1.67","13.05"
"PVRINOX","1,199.10","1,199.10","1,125.70","1,227.20","1,152.00","-","-75.2","-6.13","3208552","369.90","1,284.50","907.40","-0.35","0.5"
"ZEEL","88.00","89.00","85.42","91.61","85.73","-","-5.88","-6.42","42609965","369.85","121.80","68.00","-8.98","-26.03"
"EICHERMOT","7,658.00","7,729.00","7,615.00","7,630.50","7,672.00","-","41.5","0.54","466050","358.55","8,230.00","6,411.50","-4.34","16.59"
"CGPOWER","902.00","912.05","894.25","891.00","895.00","-","4","0.45","3937949","355.63","980.90","525.50","1.82","21.55"
"ANANTRAJ","622.00","644.80","615.20","625.45","637.35","-","11.9","1.9","5173652","328.76","743.65","403.00","3.48","19.08"
"MEESHO","209.98","211.24","205.75","209.00","209.49","-","0.49","0.23","15413416","323.16","254.40","125.56","9.48","0"
"TECHM","1,575.10","1,593.60","1,545.30","1,596.90","1,564.00","-","-32.9","-2.06","2028588","316.19","1,854.00","1,304.10","-4.34","5.83"
"RRKABEL","2,430.80","2,484.00","2,353.70","2,454.10","2,388.70","-","-65.4","-2.66","1299097","311.53","2,983.80","1,181.60","-13.44","98.02"
"IIFL","649.00","667.00","635.30","651.15","655.00","-","3.85","0.59","4742061","309.34","705.00","409.10","7.07","50.57"
"GLAND","2,929.60","3,042.00","2,916.90","2,932.40","2,972.00","-","39.6","1.35","1031320","307.97","3,042.00","1,573.60","14.26","57.07"
"HINDCOPPER","521.60","521.60","506.60","521.65","509.95","-","-11.7","-2.24","5991278","307.15","760.05","240.30","-4.88","108.8"
"KOTAKBANK","421.80","425.70","421.00","424.50","422.10","-","-2.4","-0.57","7148641","302.34","453.20","345.50","8.02","8.48"
"PAYTM","1,659.60","1,669.30","1,642.00","1,659.50","1,664.00","-","4.5","0.27","1822600","301.89","1,732.30","930.60","15.43","32.62"
"SUNPHARMA","1,899.00","1,907.80","1,883.10","1,899.00","1,895.00","-","-4","-0.21","1579345","298.70","2,046.90","1,548.00","-2.57","18.91"
"MANAPPURAM","332.35","332.35","323.15","339.70","325.60","-","-14.1","-4.15","9089525","296.71","381.55","245.15","-11.22","14.45"
"HAL","4,884.80","4,909.90","4,835.40","4,856.00","4,855.20","-","-0.8","-0.02","602641","293.67","5,149.90","3,479.10","-1.12","10.23"
"ADANIENT","2,940.00","2,964.40","2,918.50","2,938.00","2,950.00","-","12","0.41","981218","288.30","3,245.00","1,753.00","-2.32","33.19"
"TRENT","2,850.00","2,854.40","2,772.50","2,853.00","2,814.50","-","-38.5","-1.35","1021019","286.17","3,782.67","2,183.67","-6.09","-23.64"
"BHARATFORG","1,953.00","1,955.90","1,927.30","1,956.00","1,955.00","-","-1","-0.05","1414192","274.90","2,295.00","1,128.00","-13.69","71.99"
"APOLLOHOSP","8,682.00","8,840.50","8,650.00","8,650.00","8,760.00","-","110","1.27","303793","265.70","9,050.00","6,696.50","-2.07","12.24"
"BOSCHLTD","46,750.00","48,550.00","46,535.00","46,820.00","48,025.00","-","1205","2.57","54963","263.24","50,000.00","28,610.00","11.82","17.39"
"RVNL","215.08","216.45","209.36","212.49","210.05","-","-2.44","-1.15","12205275","260.34","400.70","203.83","-10","-36.23"
"HCLTECH","1,271.70","1,286.80","1,263.00","1,293.40","1,282.80","-","-10.6","-0.82","2008363","255.67","1,780.10","1,030.00","-5.44","-9.6"
"MOTHERSON","160.50","164.65","160.12","160.70","162.00","-","1.3","0.81","15669796","255.40","173.27","93.49","-3.86","71.25"
"BEL","406.35","409.25","404.00","405.35","404.00","-","-1.35","-0.33","5965784","242.42","473.45","368.50","0.75","8.95"
"ZYDUSLIFE","1,114.20","1,163.00","1,114.10","1,120.00","1,156.90","-","36.9","3.29","2107281","241.98","1,205.00","835.50","3.83","14.11"
"ULTRACEMCO","11,370.00","11,370.00","11,175.00","11,408.00","11,175.00","-","-233","-2.04","214788","241.12","13,110.00","10,325.00","-7.68","-11.32"
"TITAN","5,010.00","5,028.00","4,958.50","5,020.00","4,995.00","-","-25","-0.5","480336","239.32","5,186.70","3,303.10","1.09","36.28"
"JIOFIN","239.00","239.30","234.40","239.50","234.40","-","-5.1","-2.13","10127575","238.71","321.60","223.30","-8.72","-24.24"
"TEJASNET","615.00","616.20","590.05","614.15","592.95","-","-21.2","-3.45","3912391","234.24","644.75","294.00","15.48","0.8"
"PFC","355.75","359.15","353.00","355.60","353.10","-","-2.5","-0.7","6560499","232.70","486.50","329.90","-15.93","-10.47"
"PWL","127.47","130.32","126.54","126.42","129.50","-","3.08","2.44","18012338","232.02","161.99","77.72","-1.59","0"
"COFORGE","1,958.00","1,958.60","1,920.40","1,972.80","1,935.00","-","-37.8","-1.92","1187703","229.92","2,021.20","1,008.10","8.95","16.69"
"ANGELONE","300.90","307.00","298.05","299.80","303.80","-","4","1.33","7522794","229.12","360.45","208.63","4.04","32.27"
"GODREJCP","878.50","879.05","857.10","878.00","861.90","-","-16.1","-1.83","2647422","228.30","1,309.00","857.10","-17.91","-30.01"
"KALYANKJIL","600.00","602.75","590.00","598.80","591.00","-","-7.8","-1.3","3808474","226.74","648.95","327.05","-2.52","17.74"
"PERSISTENT","5,610.00","5,622.00","5,522.00","5,643.00","5,540.00","-","-103","-1.83","404979","225.09","6,599.00","4,244.50","1.19","7.95"
"HINDZINC","597.85","598.00","587.50","601.00","589.15","-","-11.85","-1.97","3801807","224.60","733.00","430.75","-2.3","33.87"
"UNIONBANK","186.50","188.45","183.20","187.22","186.04","-","-1.18","-0.63","12010754","221.38","205.49","125.45","1.33","46.1"
"POLICYBZR","1,830.00","1,843.20","1,752.30","1,836.00","1,792.00","-","-44","-2.4","1228810","220.23","1,974.00","1,364.00","11.69","-1.67"
"OFSS","12,105.00","12,110.00","11,679.00","12,058.00","11,847.00","-","-211","-1.75","185270","218.53","12,540.00","6,234.50","0.36","43.08"
"LENSKART","688.95","697.25","684.50","684.90","688.60","-","3.7","0.54","3142143","216.47","697.25","356.10","20.87","0"
"NAM-INDIA","1,158.80","1,196.00","1,152.00","1,159.90","1,195.00","-","35.1","3.03","1817884","214.00","1,269.50","794.00","1.62","49.74"
"LAURUSLABS","1,840.00","1,876.70","1,832.70","1,840.00","1,876.70","-","36.7","1.99","1148664","213.58","1,949.00","823.10","1.76","113.1"
"VBL","406.00","407.60","404.00","407.60","405.95","-","-1.65","-0.4","5062827","205.20","555.80","381.00","-8.16","-13.56"
"ADANIPOWER","207.10","208.65","204.16","207.20","204.49","-","-2.71","-1.31","9839611","202.49","254.20","120.00","-2.16","67.7"
"SBILIFE","1,775.00","1,775.00","1,727.80","1,775.00","1,732.00","-","-43","-2.42","1155352","201.76","2,132.00","1,700.40","-6.66","-4.06"
"AXISBANK","1,271.00","1,271.90","1,261.60","1,273.00","1,266.00","-","-7","-0.55","1592707","201.62","1,418.30","1,047.30","2.26","19.9"
"TMCV","459.00","461.90","454.15","458.20","460.00","-","1.8","0.39","4403689","201.59","509.00","306.30","1.52","0"
"VMM","106.15","106.57","103.06","106.14","104.00","-","-2.14","-2.02","19261503","200.44","155.32","98.77","-4.34","-31.79"
"TMPV","311.50","312.00","307.00","311.50","307.00","-","-4.5","-1.44","6493351","200.36","739.70","294.30","-11.53","-55.62"
"ADANIPORTS","1,714.00","1,716.40","1,685.90","1,707.30","1,694.30","-","-13","-0.76","1175225","199.86","1,891.10","1,292.00","0.05","28.18"
"REDINGTON","371.05","381.60","370.00","371.30","378.10","-","6.8","1.83","5166393","195.40","381.60","191.31","6.55","59.66"
"ADANIENSOL","1,412.70","1,418.50","1,387.80","1,409.60","1,390.40","-","-19.2","-1.36","1342576","187.92","1,789.00","744.90","-14.7","83.93"
"HEROMOTOCO","5,300.00","5,347.50","5,270.00","5,300.00","5,270.00","-","-30","-0.57","354258","187.84","6,388.50","4,671.50","-7.95","-1.73"
